provincia,tipo de averia y emergencia,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre,ano
san pedro de macoris,otros,0, -   ,0,0,3,0,0,0,0,0,0,0,2020
san pedro de macoris,probable defecto o falla,3,4,0,0,0,5,4,11,5,2,3,2,2020
san pedro de macoris,riesgo de vida,143,126,110,94,128,167,110,255,163,184,139,110,2020
santo domingo,alumbrado publico,2,1,1,1,0,0,0,0,0,0,0,0,2020
santo domingo,falta de energia,10932,"8,592",8193,5605,7698,8476,8998,11291,11239,12447,12158,10079,2020
santo domingo,niveles de tension,2314,"1,723",1665,1103,1648,1808,1953,2348,2376,2760,2778,2132,2020
santo domingo,otros,0, -   ,0,0,2,0,1,2,0,0,0,0,2020
santo domingo,probable defecto o falla,31,34,10,12,14,21,26,62,20,36,22,14,2020
santo domingo,riesgo de vida,898,847,718,562,765,907,962,1436,1195,1120,1066,780,2020
santo domingo,sin identificar,0,1,0,2,1,0,0,0,0,0,1,0,2020
distrito nacional,falta de energia,1517,1876,2327,2146,2368,2521,2572,2731,2940,2331,1969,1898,2021
distrito nacional,níveles de tension,290,310,397,384,453,471,465,499,591,503,481,403,2021
distrito nacional,probable defecto o falla,7,3,13,7,5,5,9,16,13,9,10,9,2021
distrito nacional,riego de vida,151,79,209,175,202,199,254,337,264,247,195,175,2021
el seibo,falta de energia,301,124,376,390,349,394,448,309,462,426,372,404,2021
el seibo,níveles de tension,39,13,45,35,47,37,46,33,51,53,31,30,2021
el seibo,riego de vida,31,18,55,47,36,49,54,46,51,55,32,53,2021
hato mayor,falta de energia,336,106,383,347,384,419,455,437,513,630,423,399,2021
hato mayor,níveles de tension,46,12,46,44,36,64,57,54,64,81,42,47,2021
hato mayor,probable defecto o falla,2,0,0,2,3,3,3,1,2,3,3,0,2021
hato mayor,riego de vida,40,18,47,67,52,59,48,51,61,57,38,64,2021
la altagracia,falta de energia,757,271,958,1048,1006,971,1210,1174,1375,1326,1119,971,2021
la altagracia,níveles de tension,128,46,133,138,130,134,175,204,206,192,171,139,2021
la altagracia,probable defecto o falla,3,3,1,2,0,1,4,3,4,4,3,2,2021
